Field,Award,Name,Year
Trade & Ind.,PB,Shri Narayanan Vaghul,2010
Art,PB,Shri Ilaiyaraaja,2010
Art,PB,Shri A.R. Rahman,2010
Sports,PS,Shri Kumar Ram Narain Karthikeyan,2010
Trade & Ind.,PS,Shri Venu Srinivasan,2010
Medicine,PS,Dr. J.R. Krishnamoorthy,2010
Litt. & Edu.,PS,Dr.(Smt.) Y.G. Rajalakshmi Parthasarathy,2010
Litt. & Edu.,PS,Dr. Ranganathan Parthasarathy (Indira Parthasarathy),2010
Trade & Ind.,PS,Shri T.N. Manoharan,2010
Science & Eng.,PB,Dr. S. Ramachandran,2011
Art,PB,Shri C. V. Chandrasekhar,2011
Art,PB,Shri S. P. Balasubrahmanyam,2011
Art,PS,Prof. S. R. Janakiraman,2011
Medicine,PS,Prof.(Dr) M. Ahmed Ali,2011
Medicine,PS,Prof.(Dr) Sivapatham Vittal,2011
Trade & Ind.,PS,Shri K. Raghavendra Rao,2011
Litt. & Edu.,PS,Dr. Avvai Natarajan,2011
Science & Eng.,PS,Shri C. N. Raghavendran,2011
Trade & Ind.,PS,Shri Mecca Rafeeque Ahmed,2011
Art,PS,Smt. Madras Kaderivelu Saroja,2011
Art,PS,Shri Jayaram Subramaniam,2011
Art,PB,Shri M.S. Gopalakrishnan,2012
Civil Service,PB,Shri Nagarajan Vittal,2012
Art,PB,Dr. T. V. Gopalakrishnan,2012
Trade & Ind.,PB,Shri Murugappa Vellayan Subbiah,2012
Social Work,PS,Dr. P.K. Gopal,2012
Art,PS,Shri Soman Nair Priyadarsan,2012
Art,PS,Shri N. Muthuswamy,2012
Medicine,PS,Dr. Vallalarpuram Sennimalai Natarajan,2012
Medicine,PS,Dr. V. Mohan,2012
Trade & Ind.,PB,Shri Ramamurthy Thyagarajan,2013
Trade & Ind.,PS,Smt. Rajshree Pathy,2013
Art,PS,Shri S. Lakshminarayana (Bapu),2013
Social Work,PS,Shri SKM. Maeilanandhan,2013
Medicine,PS,Prof. (Dr.) Trichur Viswanathan Devarajan,2013
Science & Eng.,PB,Dr. Anumolu Ramakrishna,2014
Art,PB,Shri Kamal Haasan,2014
Art,PB,Shri T.H. Vikku Vinayakram,2014
Litt. & Edu.,PB,Shri Vairamuthu,2014
Science & Eng.,PS,Dr. Ajay Parida,2014
Sports,PS,Ms Dipika Rebecca Pallikal,2014
Trade & Ind.,PS,Ms Mallika Srinivasan,2014
Art,PS,Shri Santosh Sivan,2014
Medicine,PS,Prof. (Dr.) Thenumgal Poulose Jacob,2014
Medicine,PS,Prof. Hakim Syed Khaleefathullah,2014
Science & Eng.,PV,Shri Malur Ramaswamy Srinivasan,2015
Art,PB,Smt. Sudha Ragunathan,2015
Civil Service,PB,Shri Needamangalam Gopalaswami,2015
Civil Service,PS,Shri P.V. Rajaraman,2015
Art,PS,Ms. Kanyakumari Avasarala,2015
Medicine,PV,Dr. V Shanta,2016
Art,PV,Shri Rajinikanth,2016
Social Work,PS,Shri Damal Kandadai Srinivasan,2016
Medicine,PS,Dr. Chandrasekar Shesadri Thoguluva,2016
Social Work,PS,Shri Arunachalam Muruganantham,2016
Others,PV,Sadhguru Jagadish Vasudev,2017
Art,PV,Dr. K. J. Yesudas,2017
Litt. & Edu,PB,Shri Cho S. Ramaswamy,2017
Medicine,PS,Prof. Suniti Solomon,2017
Social Work,PS,Kumari Nivedita Raghunath Bhide,2017
Litt. & Edu,PS,Shri Michel Danino,2017
Art,PS,Shri T. K. Murthy,2017
Sports,PS,Shri Mariyappan T,2017
Art-Music,PV,Shri Ilaiyaraaja,2018
Others-Archaeology,PB,Dr. Ramachandran Nagaswamy,2018
Others-Yoga,PS,Ms. V Nanammal,2018
Art-Folk Music,PS,Ms. Vijayalakshmi Navaneethakrishnan,2018
Science and Engineering,PS,Prof. Rajagopalan Vasudevan,2018
Others-Wildlife Conservation,PS,Shri Romulus Whitaker,2018
Others-Spiritualism,PS,Shri Bangaru Adigalar,2019
Sports-Table Tennis,PS,Shri Sharath Kamal,2019
Art-Dance-Bharatnatyam,PS,Nartaki Natraj,2019
Social Work-Microfinance,PS,Ms. Madurai Chinna Pillai,2019
Medicine-Ophthalmology,PS,Shri R V Ramani,2019
Art-Music,PS,Shri Anandan Sivamani,2019
Medicine-Surgery,PS,Shri Ramaswami Venkataswami,2019
